Target ID	Gene Name	Measure Names	Qval Color	Number of target	Measure Values
ENSMUST00000126846	Abcb1a	Apical Bias	Red	598	1.466384698
ENSMUST00000127253	Mrpl48	Apical Bias	Red	598	-0.954670050
ENSMUST00000128064	Ndufb2	Apical Bias	Red	598	-0.980669365
ENSMUST00000128597	Tmem8	Apical Bias	Red	598	0.609413208
ENSMUST00000129751	Akr1c19	Apical Bias	Red	598	0.558937433
ENSMUST00000130229	Acox1	Apical Bias	Red	598	0.378122387
ENSMUST00000130441	Prdm11	Apical Bias	Red	598	-1.042694130
ENSMUST00000131193	Slc35b1	Apical Bias	Red	598	0.799869675
ENSMUST00000131312	Swt1	Apical Bias	Red	598	-1.170102238
ENSMUST00000131367	4930529C04Rik	Apical Bias	Red	598	0.583478922
ENSMUST00000131940	Agpat2	Apical Bias	Red	598	0.449132695
ENSMUST00000132720	Psmc2	Apical Bias	Red	598	-1.352985482
ENSMUST00000132994	Caps2	Apical Bias	Red	598	-1.179805566
ENSMUST00000134116	Apoc2	Apical Bias	Red	598	0.775120057
ENSMUST00000134663	Myo7b	Apical Bias	Red	598	0.750276688
ENSMUST00000135371	Cul4a	Apical Bias	Red	598	-1.005955264
ENSMUST00000135569	Cyp4b1	Apical Bias	Red	598	0.790105370
ENSMUST00000135909	Chd3	Apical Bias	Red	598	-0.589965723
ENSMUST00000136176	Ift80	Apical Bias	Red	598	-1.276463945
ENSMUST00000137287	Sympk	Apical Bias	Red	598	-0.487263615
ENSMUST00000137423	Rps8	Apical Bias	Red	598	-0.677524016
ENSMUST00000138101	Mdh2	Apical Bias	Red	598	0.244219742
ENSMUST00000138367	Prmt5	Apical Bias	Red	598	0.599641948
ENSMUST00000138484	Srsf2	Apical Bias	Red	598	0.370256867
ENSMUST00000138787	Tm4sf20	Apical Bias	Red	598	1.243556491
ENSMUST00000138827	Eif2a	Apical Bias	Red	598	-0.363164955
ENSMUST00000141235	Zbtb8os	Apical Bias	Red	598	-0.923803013
ENSMUST00000141384	Cep85	Apical Bias	Red	598	-0.484211725
ENSMUST00000142430	Sgip1	Apical Bias	Red	598	-0.590482344
ENSMUST00000142643	Rpl30	Apical Bias	Red	598	-0.799853927
ENSMUST00000143014	Plxnb2	Apical Bias	Red	598	0.757820124
ENSMUST00000143037	Armt1	Apical Bias	Red	598	-1.044054863
ENSMUST00000143074	Gm42669	Apical Bias	Red	598	-1.279512436
ENSMUST00000143083	Gm10721	Apical Bias	Red	598	-1.728426936
ENSMUST00000143178	Tmed7	Apical Bias	Red	598	0.644966916
ENSMUST00000144057	Mef2a	Apical Bias	Red	598	-1.025108351
ENSMUST00000144139	Zdhhc21	Apical Bias	Red	598	-0.881937060
ENSMUST00000144150	Abhd3	Apical Bias	Red	598	0.774135415
ENSMUST00000144375	Arpc1b	Apical Bias	Red	598	0.437782878
ENSMUST00000144529	Lgals3bp	Apical Bias	Red	598	1.450593961
ENSMUST00000144826	Noct	Apical Bias	Red	598	-0.679801038
ENSMUST00000145034	Tmc4	Apical Bias	Red	598	0.766594463
ENSMUST00000145062	Cyp3a25	Apical Bias	Red	598	0.620230207
ENSMUST00000145623	Cisd3	Apical Bias	Red	598	0.312887983
ENSMUST00000145943	Slc22a18	Apical Bias	Red	598	0.878670212
ENSMUST00000146108	Wdr31	Apical Bias	Red	598	-0.850146902
ENSMUST00000146409	Slc26a2	Apical Bias	Red	598	0.873161532
ENSMUST00000146494	Cyp2c66	Apical Bias	Red	598	0.815931754
ENSMUST00000146705	Speg	Apical Bias	Red	598	0.423416094
ENSMUST00000147575	Cpa6	Apical Bias	Red	598	-1.157332394
ENSMUST00000148005	Mmp12	Apical Bias	Red	598	-0.955972585
ENSMUST00000148619	Yars	Apical Bias	Red	598	-0.745162785
ENSMUST00000148750	Slc4a4	Apical Bias	Red	598	1.310887690
ENSMUST00000150946	Snf8	Apical Bias	Red	598	-0.772943660
ENSMUST00000151376	Gm10722	Apical Bias	Red	598	-1.554439469
ENSMUST00000152614	Pax8	Apical Bias	Red	598	0.313881703
ENSMUST00000153073	Rad51c	Apical Bias	Red	598	0.636740377
ENSMUST00000153128	Cnnm4	Apical Bias	Red	598	0.382801354
ENSMUST00000154837	Rsrp1	Apical Bias	Red	598	-0.357762461
ENSMUST00000154870	Recql	Apical Bias	Red	598	-1.187469478
ENSMUST00000155635	Hltf	Apical Bias	Red	598	0.349479080
ENSMUST00000155697	Slc25a45	Apical Bias	Red	598	0.907475055
ENSMUST00000155805	Rps16	Apical Bias	Red	598	-0.784146949
ENSMUST00000155807	Gm10715	Apical Bias	Red	598	-1.353161338
ENSMUST00000156108	Sema4a	Apical Bias	Red	598	1.072122405
ENSMUST00000156487	Ggt1	Apical Bias	Red	598	0.837108657
ENSMUST00000156641	Abhd12	Apical Bias	Red	598	0.801533603
ENSMUST00000156662	Gm766	Apical Bias	Red	598	0.298044642
ENSMUST00000159159	Adh1	Apical Bias	Red	598	0.388160705
ENSMUST00000159755	1700019G17Rik	Apical Bias	Red	598	0.539945740
ENSMUST00000160210	Pam	Apical Bias	Red	598	-0.776229239
ENSMUST00000160294	Dgat1	Apical Bias	Red	598	0.416587952
ENSMUST00000160318	Marc2	Apical Bias	Red	598	0.445621390
ENSMUST00000161169	Slc30a9	Apical Bias	Red	598	0.562856385
ENSMUST00000161359	Marc2	Apical Bias	Red	598	0.519288420
ENSMUST00000161624	Fgd4	Apical Bias	Red	598	-1.043185057
ENSMUST00000162342	Ap1s3	Apical Bias	Red	598	-0.706222172
ENSMUST00000162537	Mycbp2	Apical Bias	Red	598	-1.239973849
ENSMUST00000162970	Ces2c	Apical Bias	Red	598	1.012099676
ENSMUST00000163241	Gimd1	Apical Bias	Red	598	0.716930179
ENSMUST00000163694	Pkm	Apical Bias	Red	598	0.404177502
ENSMUST00000164042	Gm17555	Apical Bias	Red	598	-1.338832440
ENSMUST00000164182	Ces2a	Apical Bias	Red	598	0.995808185
ENSMUST00000164420	Gm17131	Apical Bias	Red	598	-1.325898215
ENSMUST00000165123	Csnk1a1	Apical Bias	Red	598	0.404698389
ENSMUST00000165220	Gm9742	Apical Bias	Red	598	-1.265626918
ENSMUST00000166105	Gm17615	Apical Bias	Red	598	-1.533907267
ENSMUST00000166620	P4hb	Apical Bias	Red	598	0.986749772
ENSMUST00000166737	Zfp488	Apical Bias	Red	598	-0.893785511
ENSMUST00000166860	Gpa33	Apical Bias	Red	598	1.264164003
ENSMUST00000166899	Gm21962	Apical Bias	Red	598	-1.332063321
ENSMUST00000167334	Sis	Apical Bias	Red	598	1.664078511
ENSMUST00000167348	Atp2b4	Apical Bias	Red	598	-0.939087381
ENSMUST00000167377	Iqgap1	Apical Bias	Red	598	0.508563357
ENSMUST00000167856	Myo18a	Apical Bias	Red	598	-1.078304306
ENSMUST00000168015	Mov10	Apical Bias	Red	598	0.833506081
ENSMUST00000169230	Slc44a4	Apical Bias	Red	598	1.094134793
ENSMUST00000170122	Rps27	Apical Bias	Red	598	-0.939944424
ENSMUST00000170135	Mrpl13	Apical Bias	Red	598	-0.732637693
ENSMUST00000170445	Sis	Apical Bias	Red	598	0.708562663
ENSMUST00000171239	Apob	Apical Bias	Red	598	1.659213972
ENSMUST00000171297	F830016B08Rik	Apical Bias	Red	598	-1.357184323
ENSMUST00000171321	Psmb9	Apical Bias	Red	598	-0.738839100
ENSMUST00000172785	H2-D1	Apical Bias	Red	598	0.659496848
ENSMUST00000172912	H2-K1	Apical Bias	Red	598	0.808150815
ENSMUST00000173115	H2-Q2	Apical Bias	Red	598	0.461001062
ENSMUST00000173117	Tmcc1	Apical Bias	Red	598	0.320059075
ENSMUST00000174043	Cyb5r4	Apical Bias	Red	598	-1.063065963
ENSMUST00000174479	Dtnb	Apical Bias	Red	598	-1.155661267
ENSMUST00000174778	Gm10499	Apical Bias	Red	598	-0.757508906
ENSMUST00000175849	Apobec3	Apical Bias	Red	598	-2.247072895
ENSMUST00000175877	Ctage5	Apical Bias	Red	598	1.138271160
ENSMUST00000176225	Pkib	Apical Bias	Red	598	-1.125610839
ENSMUST00000176733	Gm20678	Apical Bias	Red	598	-1.391996209
ENSMUST00000177203	Sik2	Apical Bias	Red	598	-1.340542950
ENSMUST00000177601	Gm10717	Apical Bias	Red	598	-1.232063420
ENSMUST00000177665	Gm21833	Apical Bias	Red	598	-0.971104553
ENSMUST00000177817	Gm21738	Apical Bias	Red	598	-1.305167197
ENSMUST00000177875	Gm10717	Apical Bias	Red	598	-1.711198559
ENSMUST00000177921	AC132444.6	Apical Bias	Red	598	-1.362338182
ENSMUST00000178077	Gm11168	Apical Bias	Red	598	-1.671086825
ENSMUST00000178114	Lipa	Apical Bias	Red	598	1.590271384
ENSMUST00000178312	Gm21897	Apical Bias	Red	598	-0.970967723
ENSMUST00000178343	PISD	Apical Bias	Red	598	-1.087150848
ENSMUST00000178348	Gm11168	Apical Bias	Red	598	-1.355548415
ENSMUST00000178641	Gm17535	Apical Bias	Red	598	-1.502784277
ENSMUST00000178685	Ankrd44	Apical Bias	Red	598	0.318508323
ENSMUST00000179264	Gm10717	Apical Bias	Red	598	-1.326653693
ENSMUST00000179272	Gm10719	Apical Bias	Red	598	-1.300740839
ENSMUST00000179802	Cmtm4	Apical Bias	Red	598	0.853602334
ENSMUST00000179881	Gm11168	Apical Bias	Red	598	-1.347538743
ENSMUST00000179982	Gm10717	Apical Bias	Red	598	-1.402380358
ENSMUST00000180726	E030030I06Rik	Apical Bias	Red	598	-1.055839536
ENSMUST00000180786	Slc46a1	Apical Bias	Red	598	0.975811545
ENSMUST00000181063	Gm11960	Apical Bias	Red	598	-0.641143420
ENSMUST00000181173	Gm3839	Apical Bias	Red	598	-0.855507498
ENSMUST00000181969	Ndfip2	Apical Bias	Red	598	0.585562521
ENSMUST00000183059	Mcmdc2	Apical Bias	Red	598	-1.052291086
ENSMUST00000184461	Vps50	Apical Bias	Red	598	-0.981351733
ENSMUST00000185176	Lzts1	Apical Bias	Red	598	0.645459803
ENSMUST00000185367	Glrx2	Apical Bias	Red	598	-1.045331289
ENSMUST00000185709	9430016H08Rik	Apical Bias	Red	598	-1.097966529
ENSMUST00000186404	Pikfyve	Apical Bias	Red	598	-1.053286498
ENSMUST00000186941	Gm28356	Apical Bias	Red	598	-0.883164714
ENSMUST00000188039	Mrgprc2-ps	Apical Bias	Red	598	-0.913585488
ENSMUST00000188101	Gin1	Apical Bias	Red	598	-1.085729724
ENSMUST00000188524	Eef1b2	Apical Bias	Red	598	-0.568511078
ENSMUST00000189201	Gm21244	Apical Bias	Red	598	-0.684126558
ENSMUST00000189430	Gm28362	Apical Bias	Red	598	-1.282203681
ENSMUST00000189465	Gdap1	Apical Bias	Red	598	0.398218229
ENSMUST00000189503	Ndufa10	Apical Bias	Red	598	0.501542380
ENSMUST00000189597	Cdc73	Apical Bias	Red	598	-0.923460687
ENSMUST00000190945	Pign	Apical Bias	Red	598	-1.251705519
ENSMUST00000191404	Slc26a6	Apical Bias	Red	598	1.221231681
ENSMUST00000192710	Nme7	Apical Bias	Red	598	0.926725855
ENSMUST00000193031	Glrb	Apical Bias	Red	598	-1.280448424
ENSMUST00000193321	Gm37515	Apical Bias	Red	598	-1.140116355
ENSMUST00000193355	Traf5	Apical Bias	Red	598	-1.164295595
ENSMUST00000193603	Nlgn1	Apical Bias	Red	598	0.611598665
ENSMUST00000194134	Mme	Apical Bias	Red	598	0.988220944
ENSMUST00000194917	Mfsd7b	Apical Bias	Red	598	0.859626491
ENSMUST00000194953	Ppp2r5a	Apical Bias	Red	598	-0.922693670
ENSMUST00000195575	Car3	Apical Bias	Red	598	0.588272815
ENSMUST00000195740	Gm37102	Apical Bias	Red	598	-1.251317458
ENSMUST00000196194	Zfp697	Apical Bias	Red	598	-1.312964703
ENSMUST00000196320	Gm43540	Apical Bias	Red	598	-1.276338250
ENSMUST00000196350	Akap9	Apical Bias	Red	598	-0.644984899
ENSMUST00000196729	Map4	Apical Bias	Red	598	-1.019501057
ENSMUST00000197072	Pacrgl	Apical Bias	Red	598	-1.298097762
ENSMUST00000197319	Gm42718	Apical Bias	Red	598	-1.086560540
ENSMUST00000197344	Acad9	Apical Bias	Red	598	-0.860198468
ENSMUST00000197383	Abcd3	Apical Bias	Red	598	0.586257209
ENSMUST00000197459	Gbp5	Apical Bias	Red	598	-1.267557388
ENSMUST00000198068	Usp29	Apical Bias	Red	598	-1.240942109
ENSMUST00000198651	Sycp1	Apical Bias	Red	598	-1.392052442
ENSMUST00000199141	Cenpc1	Apical Bias	Red	598	-1.313053149
ENSMUST00000199397	Fam73a	Apical Bias	Red	598	-0.630525156
ENSMUST00000199420	Csde1	Apical Bias	Red	598	-0.504579666
ENSMUST00000199708	Grin2a	Apical Bias	Red	598	0.462174477
ENSMUST00000200004	Krit1	Apical Bias	Red	598	-1.411495943
ENSMUST00000200624	Gm42927	Apical Bias	Red	598	-1.084519113
ENSMUST00000200823	Gm42857	Apical Bias	Red	598	-0.885844832
ENSMUST00000201833	Slc26a6	Apical Bias	Red	598	1.221231681
ENSMUST00000202002	Gm43498	Apical Bias	Red	598	-1.085883343
ENSMUST00000202115	Ahcyl2	Apical Bias	Red	598	0.488219662
ENSMUST00000202316	Gm42785	Apical Bias	Red	598	-1.177524664
ENSMUST00000202619	AC182748.2	Apical Bias	Red	598	-1.476228085
ENSMUST00000202693	Brca2	Apical Bias	Red	598	-1.042030341
ENSMUST00000203652	Zyx	Apical Bias	Red	598	0.634015176
ENSMUST00000203657	Reg2	Apical Bias	Red	598	-1.243233236
ENSMUST00000203939	Gm8956	Apical Bias	Red	598	-1.021994124
ENSMUST00000204249	Gm43960	Apical Bias	Red	598	-0.685812575
ENSMUST00000204574	Tmcc1	Apical Bias	Red	598	-1.022118397
ENSMUST00000204601	Reg1	Apical Bias	Red	598	0.522541065
ENSMUST00000204807	Cdkn1b	Apical Bias	Red	598	1.465102859
ENSMUST00000204923	Rab43	Apical Bias	Red	598	0.809581418
ENSMUST00000204983	Iqsec1	Apical Bias	Red	598	0.396425481
ENSMUST00000206356	Gm5595	Apical Bias	Red	598	1.016499675
ENSMUST00000206656	RP23-403E18.2	Apical Bias	Red	598	0.502698037
ENSMUST00000206682	Anpep	Apical Bias	Red	598	1.236610799
ENSMUST00000207236	RP24-297G19.6	Apical Bias	Red	598	-1.179197330
ENSMUST00000207537	RP24-71O4.1	Apical Bias	Red	598	-1.223828297
ENSMUST00000208086	Aldh3a2	Apical Bias	Red	598	0.603528110
ENSMUST00000209049	RP24-291N22.1	Apical Bias	Red	598	-1.050389197
ENSMUST00000209167	Dmbt1	Apical Bias	Red	598	1.441956779
