Target ID	Gene Name	Measure Names	Qval Color	Number of target	Measure Values
ENSMUST00000026602	2010106E10Rik	Apical Bias	Red	598	0.851136013
ENSMUST00000026624	Tm9sf2	Apical Bias	Red	598	1.277211460
ENSMUST00000027068	Tram1	Apical Bias	Red	598	0.724073294
ENSMUST00000027137	Slc40a1	Apical Bias	Red	598	0.699293676
ENSMUST00000027193	Ndufb3	Apical Bias	Red	598	-0.641170650
ENSMUST00000027231	Slc9a2	Apical Bias	Red	598	0.984296213
ENSMUST00000027343	Ogfrl1	Apical Bias	Red	598	-0.861819858
ENSMUST00000027366	Vil1	Apical Bias	Red	598	0.301058614
ENSMUST00000027580	Slc35f5	Apical Bias	Red	598	0.649898229
ENSMUST00000027675	Pigr	Apical Bias	Red	598	-1.162160325
ENSMUST00000027863	Atp1b1	Apical Bias	Red	598	1.108054752
ENSMUST00000028426	Cers6	Apical Bias	Red	598	1.031461630
ENSMUST00000028610	Cat	Apical Bias	Red	598	0.550685016
ENSMUST00000028683	Pdia3	Apical Bias	Red	598	0.622261080
ENSMUST00000028815	Slc23a2	Apical Bias	Red	598	0.590665129
ENSMUST00000028844	Sppl2a	Apical Bias	Red	598	1.020009891
ENSMUST00000028856	Mall	Apical Bias	Red	598	0.780335071
ENSMUST00000029240	Slc2a2	Apical Bias	Red	598	1.156262915
ENSMUST00000029367	Bche	Apical Bias	Red	598	1.225723109
ENSMUST00000029414	Ssr3	Apical Bias	Red	598	0.416851142
ENSMUST00000029445	Nras	Apical Bias	Red	598	0.458036353
ENSMUST00000029569	Slc35a3	Apical Bias	Red	598	1.266352853
ENSMUST00000029658	Enpep	Apical Bias	Red	598	1.512053676
ENSMUST00000029722	Rps3a1	Apical Bias	Red	598	-0.733617515
ENSMUST00000029805	Mttp	Apical Bias	Red	598	1.606197837
ENSMUST00000029871	Cdh17	Apical Bias	Red	598	1.379957990
ENSMUST00000029987	Aldob	Apical Bias	Red	598	0.240260198
ENSMUST00000030121	B4galt1	Apical Bias	Red	598	0.688017031
ENSMUST00000030164	Vcp	Apical Bias	Red	598	0.519426993
ENSMUST00000030709	Smpdl3b	Apical Bias	Red	598	0.766983500
ENSMUST00000030826	Slc2a5	Apical Bias	Red	598	1.134656699
ENSMUST00000031051	Cgref1	Apical Bias	Red	598	0.587955058
ENSMUST00000031091	D5Ertd579e	Apical Bias	Red	598	0.646318937
ENSMUST00000031103	Ugdh	Apical Bias	Red	598	0.312812272
ENSMUST00000031181	Ugt2b34	Apical Bias	Red	598	1.034612010
ENSMUST00000031195	Ugt2a3	Apical Bias	Red	598	0.707327402
ENSMUST00000031251	Hsd17b11	Apical Bias	Red	598	0.747507952
ENSMUST00000031273	Cds1	Apical Bias	Red	598	0.600578272
ENSMUST00000031542	Oasl2	Apical Bias	Red	598	1.036757481
ENSMUST00000031713	Slc13a1	Apical Bias	Red	598	0.885929245
ENSMUST00000031741	Cyp3a13	Apical Bias	Red	598	0.932520353
ENSMUST00000031835	Aoc1	Apical Bias	Red	598	1.169539742
ENSMUST00000032073	Nat8	Apical Bias	Red	598	0.760254789
ENSMUST00000032143	Rpn1	Apical Bias	Red	598	1.161245710
ENSMUST00000032185	Slc6a6	Apical Bias	Red	598	0.673853742
ENSMUST00000032272	Adipor2	Apical Bias	Red	598	0.614438430
ENSMUST00000032489	Ltbr	Apical Bias	Red	598	0.768254382
ENSMUST00000032888	Arl6ip1	Apical Bias	Red	598	0.626863689
ENSMUST00000033001	Dgat2	Apical Bias	Red	598	0.713958657
ENSMUST00000033096	Nucb1	Apical Bias	Red	598	0.791798588
ENSMUST00000033169	Cdr2	Apical Bias	Red	598	1.233085591
ENSMUST00000033418	Il13ra1	Apical Bias	Red	598	0.985933988
ENSMUST00000033553	Heph	Apical Bias	Red	598	1.610190089
ENSMUST00000033824	Lamp1	Apical Bias	Red	598	0.794260427
ENSMUST00000033827	Grk1	Apical Bias	Red	598	-0.834066190
ENSMUST00000033873	Erlin2	Apical Bias	Red	598	0.900368636
ENSMUST00000033933	Saraf	Apical Bias	Red	598	0.649786126
ENSMUST00000033975	Ddhd2	Apical Bias	Red	598	0.522320808
ENSMUST00000034026	Hpgd	Apical Bias	Red	598	0.446579515
ENSMUST00000034140	Itfg1	Apical Bias	Red	598	0.896124072
ENSMUST00000034178	Ces1f	Apical Bias	Red	598	0.805117215
ENSMUST00000034260	B3gnt3	Apical Bias	Red	598	0.995356826
ENSMUST00000034369	Psmb10	Apical Bias	Red	598	0.468434305
ENSMUST00000034478	St14	Apical Bias	Red	598	0.752050974
ENSMUST00000034483	1700128F08Rik	Apical Bias	Red	598	-1.186667260
ENSMUST00000034508	Usp2	Apical Bias	Red	598	1.218469209
ENSMUST00000034537	St3gal4	Apical Bias	Red	598	0.476041616
ENSMUST00000034585	Apoa4	Apical Bias	Red	598	0.798039798
ENSMUST00000034588	Apoa1	Apical Bias	Red	598	0.577991940
ENSMUST00000034834	Pkm	Apical Bias	Red	598	0.404177502
ENSMUST00000034966	Rpl4	Apical Bias	Red	598	-0.529597540
ENSMUST00000035007	Cmtm6	Apical Bias	Red	598	0.434275937
ENSMUST00000035222	Slc25a20	Apical Bias	Red	598	0.561667645
ENSMUST00000035918	Cyp3a11	Apical Bias	Red	598	1.161862391
ENSMUST00000036172	Sgpp2	Apical Bias	Red	598	0.534736968
ENSMUST00000036493	Atp1a1	Apical Bias	Red	598	1.238802232
ENSMUST00000037145	Cdhr2	Apical Bias	Red	598	0.948771608
ENSMUST00000037315	Abhd2	Apical Bias	Red	598	0.681957678
ENSMUST00000037764	Dido1	Apical Bias	Red	598	0.869121105
ENSMUST00000037865	Atp6v0a2	Apical Bias	Red	598	0.738947010
ENSMUST00000038211	Slfn9	Apical Bias	Red	598	-1.287295636
ENSMUST00000038488	Sidt2	Apical Bias	Red	598	1.174913876
ENSMUST00000038627	Zfp91	Apical Bias	Red	598	-1.372159949
ENSMUST00000038791	Gde1	Apical Bias	Red	598	0.668594112
ENSMUST00000038863	Lars2	Apical Bias	Red	598	0.627344232
ENSMUST00000039048	1810055G02Rik	Apical Bias	Red	598	0.496861354
ENSMUST00000039309	Sectm1b	Apical Bias	Red	598	0.571799386
ENSMUST00000040153	Rorb	Apical Bias	Red	598	0.445512887
ENSMUST00000040344	Gns	Apical Bias	Red	598	0.937054538
ENSMUST00000040430	Vat1	Apical Bias	Red	598	0.571100992
ENSMUST00000040766	Tmed10	Apical Bias	Red	598	0.791778186
ENSMUST00000040865	Tmem98	Apical Bias	Red	598	0.608213879
ENSMUST00000040960	Slc6a20a	Apical Bias	Red	598	0.848462092
ENSMUST00000042042	Slc51a	Apical Bias	Red	598	1.013431816
ENSMUST00000042118	Foxq1	Apical Bias	Red	598	0.481699076
ENSMUST00000042345	Ctnna1	Apical Bias	Red	598	0.398790902
ENSMUST00000042561	Slc43a2	Apical Bias	Red	598	1.155793536
ENSMUST00000042975	Tmem30b	Apical Bias	Red	598	1.080505762
ENSMUST00000043150	Acsl5	Apical Bias	Red	598	0.897782257
ENSMUST00000043338	Sft2d2	Apical Bias	Red	598	0.648680732
ENSMUST00000043839	F11r	Apical Bias	Red	598	0.668345681
ENSMUST00000044426	Guca2b	Apical Bias	Red	598	0.454662346
ENSMUST00000044475	Ogt	Apical Bias	Red	598	-0.756771693
ENSMUST00000044687	Ifi27l2b	Apical Bias	Red	598	0.542105310
ENSMUST00000045562	Cox15	Apical Bias	Red	598	1.004560968
ENSMUST00000045779	Ttyh2	Apical Bias	Red	598	1.043314929
ENSMUST00000045791	Scamp2	Apical Bias	Red	598	1.042704076
ENSMUST00000045887	Cisd1	Apical Bias	Red	598	0.643885449
ENSMUST00000046122	Lap3	Apical Bias	Red	598	0.429179628
ENSMUST00000046587	Scamp5	Apical Bias	Red	598	0.720311839
ENSMUST00000046807	Slc16a9	Apical Bias	Red	598	1.092330704
ENSMUST00000047431	AU040320	Apical Bias	Red	598	1.223588291
